This sheet contains cases where the normalization of dc:language is being done by a match between the value of dc:language and the codes and labels of one or more langauages in NAL. ,,,,,,,,,,,,,,,,,
"Table columns:
 - 'dc:language value': The value in the source metadata that was normalized. 
 - 'automatic normalization result': the language that the normalization algorithm matched to the dc:language value (may be more than one) 
 - 'is correct': the annotator indicates here if the result of the columns 'automatic normalization result' is correct, incorrect, or he cannot be sure.
 - 'manual normalization by annotator': if the automatic normalization is incorrect, the annotator may indicate here what is the correct matching language(s)
 - 'Examples': Links to records in the Europeana portal that contain this normalization case. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
dc:language value,automatic normalization result,,,is correct?,manual normalization by annotator,,,Examples,,,,,,,,,
Irish . English,gle(Irish),eng(English),,y,,,,http://data.europeana.eu/item/2059213/data_sounds_9152,,,,,,,,,
Irish English,gle(Irish),eng(English),,y,,,,http://data.europeana.eu/item/09212/EUS_504F54D158BC4562B8BE8DFC7B201658,,,,,,,,,
Italian / English,ita(Italian),eng(English),,y,,,,http://data.europeana.eu/item/9200235/index_php_jlis_issue_view_554,http://data.europeana.eu/item/9200235/index_php_jlis_issue_view_560,,,,,,,,
"Italian, English",ita(Italian),eng(English),,y,,,,http://data.europeana.eu/item/9200235/https___www_dropbox_com_s_730swtvf1npcl4y_Badiou_Studies_3_1_Ethics_EBook_pdf_dl_0,,,,,,,,,
"Italiana, Latina",ita(Italian),lat(Latin),,y,,,,http://data.europeana.eu/item/9200463/BibliographicResource_3000148674057,http://data.europeana.eu/item/9200463/BibliographicResource_3000148674056,,,,,,,,
"Italiano, Francais",fra(French),ita(Italian),,y,,,,http://data.europeana.eu/item/9200235/https___dl_dropboxusercontent_com_u_15053646_Grace_web_tomo1_pdf,http://data.europeana.eu/item/9200235/https___dl_dropboxusercontent_com_u_15053646_Grace_web_tomo3_pdf,http://data.europeana.eu/item/9200235/https___dl_dropboxusercontent_com_u_15053646_Grace_web_tomo2_pdf,,,,,,,
"LAT, LAT",lat(Latin),,,y,,,,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_47164,,,,,,,,,
Lat.,lat(Latin),,,y,,,,http://data.europeana.eu/item/04202/BibliographicResource_3000135639674,http://data.europeana.eu/item/04202/BibliographicResource_3000135697848,,,,,,,,
Lat. & Duits,deu(German),lat(Latin),,y,,,,http://data.europeana.eu/item/04202/BibliographicResource_3000135673202,http://data.europeana.eu/item/04202/BibliographicResource_3000135675207,,,,,,,,
"Latin, Czech",ces(Czech),lat(Latin),,y,,,,http://data.europeana.eu/item/2020601/attachments_114808_10588_114808_original_114808_jpg,http://data.europeana.eu/item/2020601/attachments_114809_10588_114809_original_114809_jpg,http://data.europeana.eu/item/2020601/attachments_114810_10588_114810_original_114810_jpg,http://data.europeana.eu/item/2020601/attachments_114811_10588_114811_original_114811_jpg,http://data.europeana.eu/item/2020601/attachments_114812_10588_114812_original_114812_jpg,,,,,
Latin; English; French,fra(French),lat(Latin),eng(English),y,,,,http://data.europeana.eu/item/92090/BibliographicResource_1000086014846,http://data.europeana.eu/item/92090/BibliographicResource_1000086014852,,,,,,,,
"Latina, Germana",deu(German),lat(Latin),,y,,,,http://data.europeana.eu/item/9200463/BibliographicResource_3000148674048,http://data.europeana.eu/item/9200463/BibliographicResource_3000148674211,http://data.europeana.eu/item/9200463/BibliographicResource_3000148674169,http://data.europeana.eu/item/9200463/BibliographicResource_3000148674329,http://data.europeana.eu/item/9200463/BibliographicResource_3000148674385,,,,,
"Latina, Greaca",ell(Greek),lat(Latin),,y,,,,http://data.europeana.eu/item/9200421/BibliographicResource_3000143253048,,,,,,,,,
"Latina, Italiana",ita(Italian),lat(Latin),,y,,,,http://data.europeana.eu/item/9200463/BibliographicResource_3000148674299,,,,,,,,,
"Latina, Maghiara",hun(Hungarian),lat(Latin),,y,,,,http://data.europeana.eu/item/9200463/BibliographicResource_3000148674038,http://data.europeana.eu/item/9200463/BibliographicResource_3000148674103,http://data.europeana.eu/item/9200463/BibliographicResource_3000148674131,http://data.europeana.eu/item/9200463/BibliographicResource_3000148674236,,,,,,
Lithuanian / English,lit(Lithuanian),eng(English),,y,,,,http://data.europeana.eu/item/9200235/https___eltalpykla_vdu_lt_bitstream_id_248_ISBN9786094670336_pdf,,,,,,,,,
"Maghiara, Latina",hun(Hungarian),lat(Latin),,y,,,,http://data.europeana.eu/item/9200463/BibliographicResource_3000148674039,,,,,,,,,
Nederlands-Frans,fra(French),nld(Dutch),,y,,,,http://data.europeana.eu/item/04202/BibliographicResource_3000135730733,,,,,,,,,
Nederlands; Frans,fra(French),nld(Dutch),,y,,,,http://data.europeana.eu/item/2032014/d4e4197198c28f275d8502efe50586e2,,,,,,,,,
Nl.,nld(Dutch),,,y,,,,http://data.europeana.eu/item/04202/BibliographicResource_3000135693692,http://data.europeana.eu/item/04202/BibliographicResource_3000135698289,http://data.europeana.eu/item/04202/BibliographicResource_3000135717308,http://data.europeana.eu/item/04202/BibliographicResource_3000135723882,,,,,,
Old English,old(Mochi),eng(English),,n,ang(Old English (ca. 450-1100)),,,http://data.europeana.eu/item/9200211/en_list_one_csg_0254,,,,,,,,,
Old Irish,gle(Irish),old(Mochi),,n,sga(Old Irish (to 900)),,,http://data.europeana.eu/item/9200211/en_list_one_csg_0136,http://data.europeana.eu/item/9200211/en_list_one_csg_0904,,,,,,,,
PL/EN,pol(Polish),eng(English),,y,,,,http://data.europeana.eu/item/2022108/urn_axmedis_00000_obj_25907fcb_76c5_49e4_be26_8e1908e1f0be,http://data.europeana.eu/item/2022108/urn_axmedis_00000_obj_4bcc578f_39cc_4609_b580_5ad1e4d8745c,http://data.europeana.eu/item/2022108/urn_axmedis_00000_obj_b8881681_6c37_4dfc_bd26_d97c47423ce0,,,,,,,
Romanian Czech,ron(Romanian),ces(Czech),,y,,,,http://data.europeana.eu/item/09215/EUS_EB1209B991494EEF8F5E5FF0BB0AC8E9,,,,,,,,,
Romanian English,ron(Romanian),eng(English),,y,,,,http://data.europeana.eu/item/09215/EUS_232E585319474CE1A3FEA3F7602F5EC5,http://data.europeana.eu/item/09215/EUS_3871A0CFF78942C5811657041B85D5EB,http://data.europeana.eu/item/09215/EUS_7F14A0173B264154BF75EBFF139B3335,http://data.europeana.eu/item/09215/EUS_D3987DF768A2418BAF7DD23CE2FA9D5D,,,,,,
Romanian French,ron(Romanian),fra(French),,y,,,,http://data.europeana.eu/item/09215/EUS_814A0CF775CB4353B00F61BC8C63F9EC,http://data.europeana.eu/item/09215/EUS_B80D57955BA84E08AC7EDA48810E7423,,,,,,,,
Romanian Hungarian,ron(Romanian),hun(Hungarian),,y,,,,http://data.europeana.eu/item/09215/EUS_F9A2DAD8774B4FB4AA69FA0BF3BA6225,,,,,,,,,
Romanian Russian,ron(Romanian),rus(Russian),,y,,,,http://data.europeana.eu/item/09215/EUS_4E0C77C7B8004719836129BE4EFE93CD,http://data.europeana.eu/item/09215/EUS_D94B0939055C403AA4E05CDCE89ECAA3,,,,,,,,
Romanian Serbian,ron(Romanian),srp(Serbian),,y,,,,http://data.europeana.eu/item/09215/EUS_14FC30C6338C4043B761B27D106D1910,http://data.europeana.eu/item/09215/EUS_6B15F06AE8574904AFBFCCB539897704,,,,,,,,
Russian English,rus(Russian),eng(English),,y,,,,http://data.europeana.eu/item/09210/EUS_10C9C21E71A24705B506EED7FBCFA775,http://data.europeana.eu/item/09210/EUS_36431FDD567C4AD1B4682010E70BC1DB,http://data.europeana.eu/item/09210/EUS_B8F8F05FF5A949E3B6B5E2A5C153E5C6,,,,,,,
Rés.,res(Reshe),,,?,,,,http://data.europeana.eu/item/09404/id_oai_rcin_org_pl_3011,,,,,,,,,
Sanskrit-German,san(Sanskrit),deu(German),,y,,,,http://data.europeana.eu/item/04202/BibliographicResource_3000135676362,,,,,,,,,
Slovak Czech,ces(Czech),slk(Slovak),,y,,,,http://data.europeana.eu/item/09213/EUS_428BB41869C942E19530CF21BDACA883,http://data.europeana.eu/item/09213/EUS_FF229AADC71543BCBCCA453E81274256,,,,,,,,
Slovenian Albanian,sqi(Albanian),slv(Slovenian),,y,,,,http://data.europeana.eu/item/09203/EUS_37F373F7EBB4425C99726DEF9D2F9EC7,,,,,,,,,
Slovenian Bosnian,bos(Bosnian),slv(Slovenian),,y,,,,http://data.europeana.eu/item/09203/EUS_1419197004034F8E9150565B56B5BC77,http://data.europeana.eu/item/09203/EUS_1E0BF5F708E54F3D8CB816AE4934600C,,,,,,,,
