This sheet contains cases where the normalization of dc:language is being done by a match between the value of dc:language and the codes and labels of one or more langauages in NAL. ,,,,,,,,,,,,,,,,,
"Table columns:
 - 'dc:language value': The value in the source metadata that was normalized. 
 - 'automatic normalization result': the language that the normalization algorithm matched to the dc:language value (may be more than one) 
 - 'is correct': the annotator indicates here if the result of the columns 'automatic normalization result' is correct, incorrect, or he cannot be sure.
 - 'manual normalization by annotator': if the automatic normalization is incorrect, the annotator may indicate here what is the correct matching language(s)
 - 'Examples': Links to records in the Europeana portal that contain this normalization case. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
dc:language value,automatic normalization result,,,is correct?,manual normalization by annotator,,,Examples,,,,,,,,,
Dutch; Flemish Turkish,tur(Turkish),nld(Dutch),vls(Flemish),y,,,,http://data.europeana.eu/item/09209/EUS_63C4F1C3974D45E49ED0BB3F17B2AEA6,,,,,,,,,
EN/PL,pol(Polish),eng(English),,y,,,,http://data.europeana.eu/item/2022108/urn_axmedis_00000_obj_83a0b320_f153_4da5_946b_eea57a0d1b53,,,,,,,,,
En Ruso,rus(Russian),eng(English),,n,rus(Russian),,,http://data.europeana.eu/item/9200376/BibliographicResource_3000136366629,http://data.europeana.eu/item/9200376/BibliographicResource_3000149419412,,,,,,,,
En español,spa(Spanish),eng(English),,n,spa(Spanish),,,http://data.europeana.eu/item/9200376/BibliographicResource_3000100291777,,,,,,,,,
En ruso,rus(Russian),eng(English),,n,rus(Russian),,,http://data.europeana.eu/item/9200376/BibliographicResource_3000100266697,,,,,,,,,
En árabe,ara(Arabic),eng(English),,n,ara(Arabic),,,http://data.europeana.eu/item/9200376/BibliographicResource_3000136365415,,,,,,,,,
Eng  Ita,ita(Italian),eng(English),,y,,,,http://data.europeana.eu/item/2022114/urn_axmedis_00000_obj_0200fb9d_f53e_4a31_8866_e8c9a3422760,http://data.europeana.eu/item/2022114/urn_axmedis_00000_obj_05ce5b6f_d5bc_4ea6_ae29_bcab3a16a124,http://data.europeana.eu/item/2022114/urn_axmedis_00000_obj_07e6e740_d54d_41b7_a593_949e0de65a9e,http://data.europeana.eu/item/2022114/urn_axmedis_00000_obj_088df492_c82a_44d8_bd15_a31b95caf0b6,http://data.europeana.eu/item/2022114/urn_axmedis_00000_obj_0b10db18_cded_43ea_8e79_3a92012a1eca,http://data.europeana.eu/item/2022114/urn_axmedis_00000_obj_0ae8245b_6568_4af0_acc0_11a55be19e8a,http://data.europeana.eu/item/2022114/urn_axmedis_00000_obj_0c2b9773_786a_415a_b155_6bd4ef1fcd1f,http://data.europeana.eu/item/2022114/urn_axmedis_00000_obj_0c4eb06b_8d8d_4690_a8b8_b9c0d7623acb,http://data.europeana.eu/item/2022114/urn_axmedis_00000_obj_0dc0e0f0_a7c4_4be5_8959_3d1a54e0ab49,http://data.europeana.eu/item/2022114/urn_axmedis_00000_obj_0da5db18_d890_4a41_b869_386f6b794717
Eng.,eng(English),,,y,,,,http://data.europeana.eu/item/04202/BibliographicResource_3000135687049,,,,,,,,,
English - Sanskrit,san(Sanskrit),eng(English),,y,,,,http://data.europeana.eu/item/04202/BibliographicResource_3000135650814,,,,,,,,,
English ; French,fra(French),eng(English),,y,,,,http://data.europeana.eu/item/2022092/10796_0EC13EE6_08FD_4D64_9D2F_8254BBF8FE5B_cho,http://data.europeana.eu/item/2022092/10796_23566DB0_374F_4880_A363_EB51AABFEF5D_cho,http://data.europeana.eu/item/2022092/10796_3EAFAC68_F1DC_4EC0_A83C_A4A4EBD7E0A4_cho,http://data.europeana.eu/item/2022092/10796_477C38BB_4D28_4CB6_88E8_965D1576ED28_cho,http://data.europeana.eu/item/2022092/10796_4B4D53E3_DAB2_4E62_A4FA_708864AF755C_cho,http://data.europeana.eu/item/2022092/10796_73A0ECEC_75AA_460D_8677_67D3598B9DC5_cho,http://data.europeana.eu/item/2022092/10796_887615C5_154B_4198_80AB_AF7081B93842_cho,http://data.europeana.eu/item/2022092/10796_9464994A_B676_4524_AD39_EC5C7692269B_cho,http://data.europeana.eu/item/2022092/10796_9782083F_EE91_4AAB_8989_3C7AD360015F_cho,http://data.europeana.eu/item/2022092/10796_9F92C872_FFCC_4362_90E2_A01D8026171B_cho
